編號,案類,發生(現)日期,發生時段,發生(現)地點
356,住宅竊盜,1040810,19~21,台北市中山區林森北路391~420號
357,住宅竊盜,1040810,19~21,台北市中山區龍江路377巷1~30號
358,住宅竊盜,1040811,04~06,台北市士林區社新里社子街61~90號
359,住宅竊盜,1040811,10~12,台北市士林區臨溪里9鄰至善路二段342巷1~30號
360,住宅竊盜,1040812,07~09,台北市大同區建明里華陰街72巷1~30號
361,住宅竊盜,1040812,19~21,台北市中山區林森北路107巷61~90號
362,住宅竊盜,1040813,13~15,台北市信義區黎平里和平東路三段301~330號
363,住宅竊盜,1040813,16~18,台北市北投區湖山里紗帽路1~30號
364,住宅竊盜,1040814,07~09,台北市大安區錦安里麗水街31~60號
365,住宅竊盜,1040814,10~12,台北市文山區木柵里7鄰木柵路三段85巷8弄1~30號
366,住宅竊盜,1040815,07~09,台北市大同區迪化街二段151~180號
367,住宅竊盜,1040815,07~09,台北市信義區大道里林口街181~210號
368,住宅竊盜,1040815,10~12,台北市大安區大學里新生南路三段70巷2弄1~30號
369,住宅竊盜,1040815,13~15,台北市大同區建明里華陰街72巷1~30號
370,住宅竊盜,1040815,13~15,台北市大安區誠安里忠孝東路三段301~330號
371,住宅竊盜,1040817,01~03,台北市北投區八仙里崇仁路一段159巷1~30號
372,住宅竊盜,1040817,01~03,台北市信義區四維里松山路241~270號
373,住宅竊盜,1040817,16~18,台北市松山區南京東路五段271~300號
374,住宅竊盜,1040817,19~21,台北市士林區天玉里中山北路七段51巷1~30號
375,住宅竊盜,1040818,19~21,台北市南港區九如里研究院路三段211~240號
376,住宅竊盜,1040820,01~03,台北市信義區景新里莊敬路289巷5弄18號
377,住宅竊盜,1040821,22~24,台北市南港區九如里研究院路三段211~240號
378,住宅竊盜,1040822,07~09,台北市中山區樂群二路266巷91~120號
379,住宅竊盜,1040822,22~24,台北市文山區博嘉里4鄰木柵路四段159巷170弄1~30號
380,住宅竊盜,1040823,01~03,台北市中正區廈安里中華路二段109巷1~30號
381,住宅竊盜,1040823,19~21,台北市北投區桃源里崗山路11巷1~30號
382,住宅竊盜,1040823,19~21,台北市萬華區西園路二段372巷3弄31~60號
383,住宅竊盜,1040824,10~12,台北市信義區六合里信義路五段150巷418弄1~30號
384,住宅竊盜,1040824,19~21,台北市士林區仁勇里小東街31~60號
385,住宅竊盜,1040825,10~12,台北市中正區新營里金華街1~30號
386,住宅竊盜,1040825,16~18,台北市大安區通化里10鄰通化街19巷1~30號
387,住宅竊盜,1040826,19~21,台北市內湖區內湖路一段91巷35弄1~30號
388,住宅竊盜,1040827,13~15,台北市士林區福志里福林路271~300號
389,住宅竊盜,1040827,16~18,台北市大同區永樂里10鄰民樂街1~30號
390,住宅竊盜,1040828,07~09,台北市大安區華聲里光復南路72巷23弄1~30號
391,住宅竊盜,1040828,13~15,台北市士林區天壽里4鄰中山北路六段441巷31~60號
392,住宅竊盜,1040828,13~15,台北市萬華區青年路1~30號
393,住宅竊盜,1040828,22~24,台北市中山區中山北路二段115巷1~30號
394,住宅竊盜,1040829,01~03,台北市文山區樟樹里13鄰興隆路四段74巷1~30號
395,住宅竊盜,1040829,07~09,台北市中正區廈安里中華路二段175巷31~60號
396,住宅竊盜,1040829,13~15,台北市北投區八仙里中央南路二段1~30號
397,住宅竊盜,1040830,07~09,台北市文山區明義里9鄰興隆路四段44巷1~30號
398,住宅竊盜,1040831,04~06,台北市士林區葫蘆里延平北路五段231巷31~60號
399,住宅竊盜,1040831,10~12,台北市中正區幸市里仁愛路二段61~90號
400,住宅竊盜,1040831,10~12,台北市信義區四育里虎林街30巷1~30號
401,住宅竊盜,1040831,13~15,台北市萬華區西昌街181~210號
402,住宅竊盜,1040831,16~18,台北市北投區石牌里致遠一路一段46巷1~30號
403,住宅竊盜,1040901,22~24,台北市大安區通化里通化街39巷1~30號
404,住宅竊盜,1040903,13~15,台北市北投區雙全街62巷1~30號
405,住宅竊盜,1040905,19~21,台北市中山區民族東路391~420號
406,住宅竊盜,1040905,19~21,台北市松山區饒河街121~150號
407,住宅竊盜,1040905,19~21,台北市萬華區廣州街186巷1~30號
408,住宅竊盜,1040906,01~03,台北市士林區忠誠里忠誠路一段91~120號
409,住宅竊盜,1040906,13~15,台北市內湖區民權東路六段413巷1~30號
410,住宅竊盜,1040907,13~15,台北市松山區敦化南路一段1~30號
411,住宅竊盜,1040908,10~12,台北市大安區虎嘯里4鄰敦化南路二段181~210號
412,住宅竊盜,1040908,10~12,台北市中正區文盛里汀州路三段151~180號
413,住宅竊盜,1040908,22~24,台北市中山區林森北路133巷31~60號
414,住宅竊盜,1040908,22~24,台北市中山區敬業1路181~210號
415,住宅竊盜,1040909,13~15,台北市中山區北安路608巷5弄1~30號
416,住宅竊盜,1040910,10~12,台北市士林區福順里重慶北路四段31~60號
417,住宅竊盜,1040910,19~21,台北市松山區八德路四段691~720號
418,住宅竊盜,1040911,07~09,台北市萬華區環河南路三段151~180號
419,住宅竊盜,1040911,10~12,台北市松山區八德路二段391~420號
420,住宅竊盜,1040912,07~09,台北市文山區順興里18鄰恆光街17巷1~30號
421,住宅竊盜,1040913,04~06,台北市信義區永春里永吉路481~510號
422,住宅竊盜,1040913,10~12,台北市大同區老師里延平北路四段153巷1~30號
423,住宅竊盜,1040913,19~21,台北市北投區大同里中央北路一段151~180號
424,住宅竊盜,1040914,04~06,台北市中正區文盛里羅斯福路三段244巷10弄1~30號
425,住宅竊盜,1040914,10~12,台北市中山區合江街31~60號
426,住宅竊盜,1040914,19~21,台北市中山區民生東路一段31~60號
427,住宅竊盜,1040915,10~12,台北市北投區林泉里泉源路21巷1~30號
428,住宅竊盜,1040915,16~18,台北市萬華區東園街66巷37弄1~30號
429,住宅竊盜,1040915,19~21,台北市中山區中山北路二段115巷3弄1~30號
430,住宅竊盜,1040917,01~03,台北市信義區六合里信義路五段150巷臨31~60號
431,住宅竊盜,1040917,19~21,台北市大安區全安里8鄰安和路二段227巷1~30號
432,住宅竊盜,1040918,04~06,台北市萬華區大埔街7巷1~30號
433,住宅竊盜,1040919,01~03,台北市中山區中山北路一段121巷1~30號
434,住宅竊盜,1040919,16~18,台北市大同區鄭州路121~150號
435,住宅竊盜,1040919,22~24,台北市大同區玉泉里貴德街1~30號
436,住宅竊盜,1040920,01~03,台北市北投區吉利里致遠二路95巷31~60號
437,住宅竊盜,1040920,10~12,台北市南港區九如里研究院路二段182巷61~90號
438,住宅竊盜,1040920,19~21,台北市中山區民權東路二段91~120號
439,住宅竊盜,1040921,01~03,台北市中正區南福里羅斯福路二段61~90號
440,住宅竊盜,1040921,04~06,台北市信義區六合里信義路五段150巷401弄1~30號
441,住宅竊盜,1040921,13~15,台北市士林區德華里文林路740巷9弄1~30號
442,住宅竊盜,1040921,13~15,台北市士林區德華里文林路740巷9弄1~30號
443,住宅竊盜,1040922,10~12,台北市北投區中庸里雙全街62巷1 ~ 30號
444,住宅竊盜,1040924,10~12,台北市北投區湖山里湖山路二段1~30號
445,住宅竊盜,1040924,19~21,台北市中正區永昌里中華路二段391~420號3樓
446,住宅竊盜,1040925,22~24,台北市中正區螢雪里泉州街121~150號
447,住宅竊盜,1040926,10~12,台北市大安區光武里22鄰復興南路一段107巷5弄1~30號
448,住宅竊盜,1040926,10~12,台北市北投區立賢里承德路七段211~240號
449,住宅竊盜,1040927,19~21,台北市中山區錦州街91~120號
450,住宅竊盜,1040928,10~12,台北市萬華區長泰街59巷1~30號
