編號,案類,發生(現)日期,發生時段,發生(現)地點
259,住宅竊盜,1040531,22~24,台北市信義區大道里林口街151~180號
260,住宅竊盜,1040601,22~24,台北市中山區八德路二段241~270號
261,住宅竊盜,1040602,13~15,台北市北投區泉源里東昇路91~120號
262,住宅竊盜,1040603,16~18,台北市中山區長安東路二段31~60號
263,住宅竊盜,1040606,04~06,台北市中山區錦州街31~60號
264,住宅竊盜,1040606,10~12,台北市松山區南京東路五段123巷8弄1~30號
265,住宅竊盜,1040606,19~21,台北市松山區八德路三段12巷52弄1~30號
266,住宅竊盜,1040607,07~09,台北市中山區中山北路二段65巷2弄1~30號
267,住宅竊盜,1040607,10~12,台北市大安區民炤里新生南路一段137巷1~30號
268,住宅竊盜,1040608,07~09,台北市中山區民權東路一段31~60號
269,住宅竊盜,1040608,13~15,台北市士林區福林里中山北路五段460巷1~30號
270,住宅竊盜,1040608,22~24,台北市中山區長春路61~90號
271,住宅竊盜,1040609,16~18,台北市文山區試院里和興路91~120號
272,住宅竊盜,1040612,10~12,台北市信義區三張里莊敬路391~420號
273,住宅竊盜,1040615,10~12,台北市中山區建國北路二段116巷1~30號
274,住宅竊盜,1040615,16~18,台北市大安區建安里忠孝東路四段181巷7弄1~30號
275,住宅竊盜,1040615,22~24,台北市文山區萬芳里011鄰萬安街61 ~ 90號
276,住宅竊盜,1040616,07~09,台北市萬華區西藏路199巷1~30號
277,住宅竊盜,1040616,13~15,台北市文山區景東里景華街104巷1~30號
278,住宅竊盜,1040616,13~15,台北市文山區景東里景興路153巷14弄1~30號
279,住宅竊盜,1040619,07~09,台北市中山區長安東路一段52巷9弄1~30號
280,住宅竊盜,1040619,07~09,台北市文山區萬隆里羅斯福路五段211~240號
281,住宅竊盜,1040619,19~21,台北市中正區頂東里羅斯福路二段174巷1~30號
282,住宅竊盜,1040620,04~06,台北市松山區光復北路120巷121~150號
283,住宅竊盜,1040620,10~12,台北市信義區富陽街44巷1~30號
284,住宅竊盜,1040621,10~12,台北市士林區溪山里至善路三段1~30號
285,住宅竊盜,1040622,07~09,台北市北投區八仙里承德路七段401巷331弄1~30號
286,住宅竊盜,1040622,13~15,台北市士林區臨溪里5鄰故宮路41巷1~30號
287,住宅竊盜,1040622,13~15,台北市士林區臨溪里故宮路41巷1~30號
288,住宅竊盜,1040623,22~24,台北市大安區大安路一段16巷1~30號
289,住宅竊盜,1040624,04~06,台北市中山區新生北路三段1~30號
290,住宅竊盜,1040624,19~21,台北市中正區光復里重慶南路一段1~30號
291,住宅竊盜,1040625,22~24,台北市中山區明水路601~630號
292,住宅竊盜,1040628,01~03,台北市士林區陽明里華岡路31~60號
293,住宅竊盜,1040628,16~18,台北市內湖區東湖路113巷95弄121~150號
294,住宅竊盜,1040628,16~18,台北市南港區玉成里南港路三段130巷3弄1~30號
295,住宅竊盜,1040628,22~24,台北市中山區中山北路二段128巷6弄1~30號
296,住宅竊盜,1040628,22~24,台北市中山區林森北路391~420號
297,住宅竊盜,1040630,22~24,台北市北投區林泉里新民路31~60號
298,住宅竊盜,1040701,07~09,台北市中正區羅斯福路三段91~120號
299,住宅竊盜,1040701,16~18,台北市中山區林森北路451~480號
300,住宅竊盜,1040701,22~24,台北市中山區農安街28之1 ~ 30號
301,住宅竊盜,1040702,19~21,台北市士林區菁山里菁山路99巷1~30號
302,住宅竊盜,1040703,01~03,台北市中山區民族東路512巷1~30號
303,住宅竊盜,1040703,13~15,台北市內湖區康樂街201巷23弄1~30號
304,住宅竊盜,1040704,04~06,台北市信義區永吉里松山路91~120號
305,住宅竊盜,1040707,01~03,台北市萬華區西園路一段256巷1~30號
306,住宅竊盜,1040707,07~09,台北市文山區樟文里辛亥路七段69巷1~30號
307,住宅竊盜,1040707,19~21,台北市萬華區莒光路181~210號
308,住宅竊盜,1040708,10~12,台北市文山區萬芳里萬美街一段19巷1~30號
309,住宅竊盜,1040709,01~03,台北市中山區新生北路三段61~90號
310,住宅竊盜,1040710,01~03,台北市中山區民族東路512巷10、1~30號
311,住宅竊盜,1040712,16~18,台北市萬華區國興路61~90號
312,住宅竊盜,1040713,22~24,台北市中山區雙城街19巷1~30號
313,住宅竊盜,1040713,22~24,台北市中正區東門里杭州南路一段18巷1~30號
314,住宅竊盜,1040714,07~09,台北市萬華區環河南路二段35巷15弄1~30號
315,住宅竊盜,1040715,10~12,台北市萬華區雙園街60巷31~60號
316,住宅竊盜,1040715,13~15,台北市信義區正和里光復南路417巷211~240號
317,住宅竊盜,1040715,19~21,台北市中山區南京東路二段91~120號
318,住宅竊盜,1040716,07~09,台北市大安區光信里光復南路456巷1~30號
319,住宅竊盜,1040717,01~03,台北市中山區民生東路一段61~90號
320,住宅竊盜,1040718,01~03,台北市北投區一德里中央北路四段151~180號
321,住宅竊盜,1040718,13~15,台北市松山區光復北路181~210號
322,住宅竊盜,1040718,16~18,台北市萬華區西園路一段121~150號
323,住宅竊盜,1040718,19~21,台北市北投區林泉里溫泉路121~150號
324,住宅竊盜,1040720,16~18,台北市北投區清江里中央南路二段91~120號
325,住宅竊盜,1040720,19~21,台北市士林區百齡里11鄰前港街110巷1~30號
326,住宅竊盜,1040720,22~24,台北市萬華區雅江街61~90號
327,住宅竊盜,1040721,10~12,台北市松山區南京東路五段251巷24弄1~30號
328,住宅竊盜,1040721,22~24,台北市信義區三犁里信義路五段121~150號
329,住宅竊盜,1040722,13~15,台北市大同區保安里哈密街59巷31弄31~60號
330,住宅竊盜,1040722,16~18,台北市萬華區中華路二段504巷1~30號
331,住宅竊盜,1040723,07~09,台北市松山區南京東路五段23巷7弄1~30號
332,住宅竊盜,1040724,13~15,台北市內湖區成功路四段323巷9弄1~30號
333,住宅竊盜,1040725,10~12,台北市松山區南京東路五段66巷1~30號
334,住宅竊盜,1040725,13~15,台北市信義區中興里嘉興街31~60號
335,住宅竊盜,1040727,07~09,台北市松山區健康路8巷1~30號
336,住宅竊盜,1040727,07~09,台北市松山區寶清街1~30號
337,住宅竊盜,1040727,19~21,台北市士林區陽明里華岡路31~60號
338,住宅竊盜,1040729,10~12,台北市松山區民權東路五段31~60號
339,住宅竊盜,1040730,13~15,台北市大同區華亭街1~30號
340,住宅竊盜,1040730,16~18,台北市萬華區大理街170巷1弄1~30號
341,住宅竊盜,1040731,01~03,台北市松山區南京東路五段251巷24弄1~30號
342,住宅竊盜,1040731,04~06,台北市松山區健康路325巷18弄1~30號
343,住宅竊盜,1040731,07~09,台北市中正區廈安里大埔街21巷1~30號
344,住宅竊盜,1040731,10~12,台北市松山區南京東路五段281巷1~30號
345,住宅竊盜,1040731,13~15,台北市松山區南京東路五段251巷24弄1~30號
346,住宅竊盜,1040731,22~24,台北市中山區民權西路61~90號
347,住宅竊盜,1040801,22~24,台北市中山區林森北路107巷31~60號
348,住宅竊盜,1040803,22~24,台北市文山區木柵里木柵路三段85巷23弄1~30號
349,住宅竊盜,1040804,04~06,台北市士林區新安里7鄰仰德大路三段106巷1~30號
350,住宅竊盜,1040805,13~15,台北市松山區南京東路五段123巷1弄1~30號
351,住宅竊盜,1040806,13~15,台北市內湖區內湖路二段103巷119弄1~30號
352,住宅竊盜,1040806,16~18,台北市北投區開明里復興四路8巷1~30號
353,住宅竊盜,1040807,01~03,台北市中山區松江路108巷1~30號
354,住宅竊盜,1040810,13~15,台北市萬華區西園路二段372巷3弄31~60號
355,住宅竊盜,1040810,16~18,台北市內湖區安泰街49巷1~30號
